serZone;type;tag;description
FBMZ;stopSignal without indi:id;FIXED;stopSignal A34 (location Brussel-KE, interGrid 9669 - 9675)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A40 (location Ukkel-Stalle, grid 12428)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A505 (location Bruss-Zd-NZV, interGrid 3 - SER 19)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A52 (location Ukkel-Stalle, grid 12429)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A59 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A62 (location Ukkel-Kalev., grid 12402)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A75 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal A96 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX013 (location Brussel-KE, interGrid 9678 - SER 6)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX0153 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX0164 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX017 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX0178 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX026 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX038 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX086 (location Y.Kuregem, grid 2801)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX107 (location Buizingen, interGrid 9662 - 9665)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX110 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX136 (location Halle, interGrid 9662 - 9653)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX15 (location Bruss-Z/1.3, interGrid 9675 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX160 (location Lembeek, interGrid 9457 - 9633)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX178 (location Y.Link-Halle, grid 2609)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX188 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX192 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX200 (location Br-Vl L26, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX208 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX209 (location Br-Vl L26, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX219 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX226 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX233 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX242 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX244 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX254 (location Huizingen, grid 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX257 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX274 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX30 (location Vorst-Oost, grid 12427)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX33 (location Brussel-KE, interGrid 9675 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX36 (location Brussel-KE, interGrid 9669 - 9675)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX50 (location Ukkel-Stalle, interGrid 12428 - 12429)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX66 (location Ukkel-Kalev., interGrid 12403 - 12402)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX76 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AX93 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AY019 (location Vorst-Zuid, interGrid 9669 - 9620)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AY029 (location Vorst-Zuid, interGrid 9669 - 9620)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AY12 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AY20 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AY26 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AY52 (location Anderlecht-W, interGrid 5021 - SER 58)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AY56 (location Y.Ruisbroek, interGrid 9667 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AY72 (location Ruisbroek, interGrid 9667 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AZ025 (location Vorst-Zuid, interGrid 9669 - 9620)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AZ036 (location Vorst-Zuid, interGrid 9669 - 9620)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AZ120 (location St-Gen-Rode, grid 12431)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AZ19 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AZ29 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal AZ72 (location Ruisbroek, interGrid 9667 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B0153 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B0164 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B017 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B0178 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B026 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B038 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B085 (location Y.Kuregem, interGrid 2801 - SER 19)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B107 (location Buizingen, interGrid 9662 - 9665)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B110 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B120 (location St-Gen-Rode, grid 12431)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B13 (location Bruss-Z/1.3, interGrid 9675 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B136 (location Halle, interGrid 9662 - 9653)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B15 (location Bruss-Z/1.3, interGrid 9675 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B160 (location Lembeek, interGrid 9457 - 9633)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B177 (location Y.Link-Halle, interGrid 2609 - SER 19)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B189 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B192 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B200 (location Br-Vl L26, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B208 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B209 (location Br-Vl L26, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B219 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B227 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B233 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B243 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B244 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B254 (location Huizingen, grid 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B259 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B275 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B30 (location Vorst-Oost, grid 12427)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B33 (location Brussel-KE, interGrid 9675 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B34 (location Brussel-KE, interGrid 9669 - 9675)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B41 (location Ukkel-Stalle, grid 12428)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B44 (location Ruisbr-B-In, grid 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B52 (location Ukkel-Kalev., interGrid 12402 - 12429)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B66 (location Ukkel-Kalev., interGrid 12403 - 12402)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B76 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal B93 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX011 (location Bruss-Zuid, interGrid 9678 - 12401)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX0149 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX0159 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX017 (location Bruss-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX0171 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX0184 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX052 (location Anderlecht-W, interGrid 5021 - SER 58)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX103 (location Buizingen, grid 9665)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX11 (location Bruss-Z/1.3, interGrid 9675 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX130 (location Halle, interGrid 9662 - 9653)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX150 (location Lembeek, interGrid 9457 - 9633)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX169 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;;stopSignal BX176 (location Vl-Wa L96, interGrid 9633 - SER 17)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX188 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX191 (location Moensberg, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX197 (location Vl-Wa 1 L94, interGrid 9457 - SER 48)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX201 (location Br-Vl L26, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX208 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX210 (location Br-Vl L26, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX221 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX226 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX231 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX242 (location Beersel, interGrid 2609 - 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX242 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX254 (location Huizingen, grid 2611)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX259 (location Vl-Wa L1, interGrid 96542 - SER 9)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX26 (location Brussel-KE, interGrid 9669 - 9675)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX27 (location Brussel-KE, interGrid 9675 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX30 (location Vorst-Oost, grid 12427)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX34 (location Brussel-KE, interGrid 9669 - 9675)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX41 (location Ukkel-Stalle, grid 12428)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX52 (location Ukkel-Stalle, grid 12429)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX59 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX62 (location Ukkel-Kalev., grid 12402)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX75 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BX96 (location Y.Ruisbroek, interGrid 9662 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BY014 (location L96-Bypass, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BY024 (location Vorst-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BY036 (location Vorst-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BY101 (location Buizingen, interGrid 9662 - 9665)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BY107 (location Buizingen, interGrid 9662 - 9665)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BY20 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BY29 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BY72 (location Ruisbroek, interGrid 9667 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ012 (location L96-Bypass, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ019 (location Vorst-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ029 (location Vorst-Zuid, interGrid 9669 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ11 (location Bruss-Z/1.3, interGrid 9675 - 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ114 (location St-Gen-Rode, interGrid 12405 - 12431)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ12 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ19 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ26 (location Y.Brussel-KE, interGrid 9678 - 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ52 (location Anderlecht-W, interGrid 5021 - SER 58)
